case_id,anomaly_id,order_id,payment_id,customer_id,category,priority,status,expected_fee,expected_tax,expected_settlement,actual_fee,actual_tax,actual_settlement,known_adjustments,refund_status,recon_status,potential_leakage,confidence,recoverability_status,potential_recovery,deadline_at,allowed_actions,approval_required,opened_at,closed_at
CASE-0132,anm-00137,ORD-857,PAY-0857,CUS-0224,SETTLEMENT_MISMATCH,LOW,NEW,4.22,0.76,1049.22,4.22,0.76,982.48,0,NONE,MISMATCH,66.74,0.90,ACTION_READY,66.74,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0133,anm-00138,ORD-872,PAY-0872,CUS-0169,REFUND_ECONOMICS,LOW,NEW,5.98,1.08,291.94,5.98,1.08,170.43,0,REFUNDED,MISMATCH,2.43,0.90,ACTION_READY,2.43,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0134,anm-00139,ORD-873,PAY-0873,CUS-0205,FEE_DISCREPANCY,LOW,NEW,9.56,1.72,2377.73,14.63,2.63,2372.66,0,NONE,MISMATCH,5.98,0.90,ACTION_READY,5.98,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0135,anm-00140,ORD-877,PAY-0877,CUS-0060,REFUND_ECONOMICS,LOW,NEW,16.82,3.03,821.09,16.82,3.03,597.67,0,REFUNDED,MISMATCH,4.47,0.90,ACTION_READY,4.47,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0136,anm-00141,ORD-884,PAY-0884,CUS-0159,FEE_DISCREPANCY,MEDIUM,NEW,122.18,21.99,5964.7,244.36,43.98,5820.53,0,NONE,MISMATCH,144.17,0.90,ACTION_READY,144.17,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0137,anm-00142,ORD-893,PAY-0893,CUS-0234,SETTLEMENT_MISMATCH,LOW,NEW,26.12,4.7,1274.96,26.12,4.7,1247.45,0,NONE,MISMATCH,27.51,0.90,ACTION_READY,27.51,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0138,anm-00143,ORD-902,PAY-0902,CUS-0028,FEE_DISCREPANCY,LOW,NEW,3.34,0.6,829.9,6.68,1.2,825.96,0,NONE,MISMATCH,3.94,0.90,ACTION_READY,3.94,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0139,anm-00145,ORD-924,PAY-0924,CUS-0132,SETTLEMENT_MISMATCH,LOW,NEW,58.57,10.54,2859.4,73.23,13.18,2786.92,0,NONE,MISMATCH,72.48,0.90,ACTION_READY,72.48,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0140,anm-00146,ORD-928,PAY-0928,CUS-0238,SETTLEMENT_MISMATCH,MEDIUM,NEW,1.74,0.31,433.87,1.74,0.31,0,0,NONE,MISMATCH,433.87,0.90,ACTION_READY,433.87,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0141,anm-00147,ORD-932,PAY-0932,CUS-0044,SETTLEMENT_MISMATCH,LOW,NEW,4.98,0.9,1238.55,4.98,0.9,1149.61,0,NONE,MISMATCH,88.94,0.90,ACTION_READY,88.94,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0142,anm-00148,ORD-939,PAY-0939,CUS-0062,SETTLEMENT_MISMATCH,LOW,NEW,1.2,0.22,297.58,1.2,0.22,189.5,0,REFUNDED,MISMATCH,6.49,0.90,ACTION_READY,6.49,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0143,anm-00149,ORD-952,PAY-0952,CUS-0159,SETTLEMENT_MISMATCH,HIGH,NEW,80.9,14.56,3949.51,80.9,14.56,0,0,REFUNDED,MISMATCH,1980.46,0.90,ACTION_READY,1980.46,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0144,anm-00150,ORD-964,PAY-0964,CUS-0067,REFUND_ECONOMICS,LOW,NEW,24.72,4.45,1206.87,24.72,4.45,642.48,0,REFUNDED,MISMATCH,11.29,0.90,ACTION_READY,11.29,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0145,anm-00151,ORD-971,PAY-0971,CUS-0156,SETTLEMENT_MISMATCH,HIGH,NEW,5.34,0.96,1328.14,5.34,0.96,0,0,REFUNDED,MISMATCH,953.0,0.90,ACTION_READY,953.0,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0146,anm-00152,ORD-980,PAY-0980,CUS-0107,FEE_DISCREPANCY,LOW,NEW,103.38,18.61,5046.81,136.58,24.58,5013.61,0,NONE,MISMATCH,39.17,0.90,ACTION_READY,39.17,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0147,anm-00153,ORD-982,PAY-0982,CUS-0078,SETTLEMENT_MISMATCH,MEDIUM,NEW,12.0,2.16,479.39,12.0,2.16,0,0,NONE,MISMATCH,479.39,0.90,ACTION_READY,479.39,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0148,anm-00154,ORD-988,PAY-0988,CUS-0067,FEE_DISCREPANCY,LOW,NEW,6.74,1.21,329.15,8.64,1.56,327.25,0,NONE,MISMATCH,2.25,0.90,ACTION_READY,2.25,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0149,anm-00156,ORD-990,PAY-0990,CUS-0013,SETTLEMENT_MISMATCH,LOW,NEW,28.85,5.19,1408.53,57.7,10.38,1337.2,0,NONE,MISMATCH,71.33,0.90,ACTION_READY,71.33,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-9001,ANM-9001,ORD-9001,PAY-9001,CUS-9001,SETTLEMENT_MISMATCH,MEDIUM,NEW,200.00,36.00,9764.00,200.00,36.00,9514.00,0,NONE,MISMATCH,250.00,0.90,ACTION_READY,250.00,2026-04-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2026-09-05T12:56:03Z,
